ReedBoston.S005755.BestBees.,Common Name
0.0977659981197117,Genus Clover
0.0719993732372297,Genus Waterlily
0.0698840488874961,Species Golden oat grass
0.0678072077718584,Family Apple trees
0.0627240363522407,subfamily Grasses
0.0379707301786274,Family Legumes
0.0365872767157631,Genus Oak
0.0365388592917581,Genus Rose
0.0333566280162958,Family Grapes
0.0263240363522407,Order grasses
0.0260787840802256,Subfamily of Rose
0.0217800062676277,Genus Privet
0.0206060482607333,Species St. Johns Wort
0.0204481353807584,Genus Lindens
0.0172340332184268,Genus of Grass Family
0.0166092134127233,Genus Horsetail
0.0166092134127233,Order Elm
0.016374177373864,Species Mountain mahogany
0.0155989971795675,Order Oleaceae
0.0146505797555625,Genus Clustervine
0.0141021623315575,Order containing Dogwood family & Silk Tassel Family
0.0120651833281103,Species Likiang Spruce
0.010733312441241,species climbing hydrangea
