Sutherland.S005760.BestBees.,Common Name
0.1081,Genus Pine
0.0846,Genus Clover
0.083205538272795,Species rose of Sharon
0.0598,Family Bittersweet
0.0505192130745301,Genus rose
0.0285676729614862,Species climbing hydrangea
0.0275599176269553,Genus holly
0.0272532094816632,Order containing Dogwood family & Silk Tassel Family
0.026,Family Legumes
0.0227,Species St. John’s Wort
0.0218200937650616,Mountain mahogany
0.0172194715856811,Genus Chinese Violet
0.0157297463085484,Species sanddune unicorn-plant
0.0146343600753626,Genus Lindens
0.0144152828287254,Order Stilbaceae
0.0123559567103361,Species Trumpet vine
0.0100337378959821,Genus Phyllarthron
