Bush.S005765.BestBees.,Common Name
0.12700614226273,Genus Lindens
0.0962948286110561,Genus Privet
0.0668,Subfamily Peacock
0.0538,Genus Pine
0.0532,Genus WaterLily
0.0479,Species Lemonyellow Rosemallow
0.0408,Family Aster
0.0336,Subfamily Grasses
0.0333861700019814,Genus Plantains
0.0271,Genus Holly
0.0222904695858926,Geus Oak
0.0209035070338815,Species California coffeeberry
0.0167,Genus Magnolia
0.0131,Genus Aster( aka daisies)
0.0119,Order bignonias
0.0116,Genus Poision Sumacs
0.0113,Species Staghorn sumac
0.0106003566475134,Genus Daylilies
