MOS: BestBees.S005779.,Common Name
0.0966,Genus Plantains
0.0831,Genus Clover
0.0521,Genus Water lily
0.0512,Genus Privet
0.0431,Genus Pine
0.0235,Species Staghorn sumac
0.0219,Species Povertyweed
0.0213,Family Daisy
0.0209,Subfamily of Rose
0.0205,Species St. John’s Wort
0.0183,Species White sweet clover
0.0158,Species Birch leaf mountain mahogany or Mountain mahogany
0.0155,Genus Sumac
0.0151,Species of Rockcress
0.014,Species Sulfurflower Buckwheat
0.014,Subfamily of Rose
0.0128,Genus Clustervine
0.0119,Genus Blitum are non-aromatic herbs
0.0113,Apple trees
0.0101,Species black medick or hop clover
