S011800,Common Name
0.1064,Hollies
0.0938,Mexican false yucca
0.0532,Grasses sub-family
0.0451,Tundra Grass
0.0428,Madders sub-family
0.0419,Grasses sub-faimly
0.0407,Himalayan Butterfly Bush
0.035,Roses sub-family
0.0341,Scotch Elm
0.0341,Genus of Buckthorns
0.0339,Daisy family
0.0308,Cucumber family
0.0252,Japanese snowball
0.0181,Wild raisin
0.0177,Water sedge
0.0167,Panicled hydrangea
0.0159,Anemone
0.0149,Sweet pepper bush
0.0147,Wild hop
0.0134,Chokecherries
0.0125,Maples
0.0124,Sedges
0.012,Devil's walkingstick
