S011807.BestBees,Common Name
0.0928,grapes family
0.06706,prosopis
0.05976,clovers
0.04392,low hop clover
0.02549,pussy willow
0.0251,poplar trees
0.0226,sub-family of the aster family
0.0194,pines
0.0187,alliums
0.0179,Sub-family of rose family
0.01769,panicled hydrangea
0.0151,willows
0.0144,Parthenocissus chinensis
0.014,begonias
0.0129,Subfamily of peacock flower family
0.0127,cypress family
0.0127,european aspen
0.0118,Sub-family of grass family
0.01064,evergreen coniferous trees
0.0103,Sub-family of rose family
