BestBees.S011842.,Common Name
0.0736,cool season grasses
0.0649,giant knotweed
0.0571,crowngrasses
0.0559,Laurel family
0.0519,pines
0.0342,chokecherries
0.0305,clovers
0.027,needlgrasses
0.0264,Sub-family of knotweed family
0.0258,lindens
0.024,fir trees
0.0236,golden oat grass
0.0216,lateflowering thoroughwort
0.0199,Daisy family
0.0199,evergreen coniferous trees
0.016,fescues
0.016,Sub-family of rose family
0.0157,orchard grass
0.0149,Eulalia siamensis
0.0145,goosefoots
0.0126,maples
0.0116,solanum
0.0116,lemonyellow rosemallow
0.0109,oaks
0.0101,Clematis brevicaudata
