Hive ID,City,Health
S011821,Acton,N/A
S011893,Altadena,N/A
S005728,Arlington,Good
S005757,Arlington,Good
S005764,Arlington,N/A
S011813,Bedford,Troubled
S005715,Bedford,Troubled
S005785,Belmont,Good
S017417,Bethesda,N/A
S011899,Beverly,N/A
S017756,Boston,N/A
S005710,Boston,Good
S005706,Boston,N/A
S005766,Boston,Good
S005778,Boston,N/A
S005755,Boston,Good
S017404,Boxford,N/A
S011851,Bristol,N/A
S005702,Brookline,Excellent
S005729,Brooklyn,Good
S005732,Brooklyn,N/A
S011832,Cambridge,N/A
S011812,Cambridge,Good
S005770,Cambridge,N/A
S005773,Cambridge,N/A
S005765,Cambridge,Troubled
S017751,Chatsworth,N/A
S011880,Chestnut Hill,Good
S011816,Chicago,N/A
S011807,Chicago,N/A
S011815,Chicago,N/A
S011801,Chilmark,N/A
S005704,Dartmouth,Excellent
S005705,Dartmouth,Excellent
S011840,Davidson,N/A
S011818,Denver,N/A
S0011817,Denver,N/A
S011884,Duxbury,N/A
S011862,Duxbury,N/A
S005786,Duxbury,N/A
S0011806,Eastham,N/A
S005799,Groton,N/A
S005718,Hingham,N/A
S005761,Ira,N/A
S011835,Jacksonville,N/A
S005712,Jeffersonville,N/A
S011803,Lexington,Good
S011886,Lincoln,N/A
S011881,Lincoln,Good
S011808,Lincoln,Good
S005739,Lincoln,N/A
S017759,Los Angeles,N/A
S005722,Los Angeles,N/A
S005730,Los Angeles,N/A
S005748,Los Angeles,N/A
S011804,Malden,N/A
S011833,Mattapoisett,N/A
S005727,Medfield,N/A
S005745,Medfield,N/A
S011844,Medford,N/A
S017407,Merrimack,N/A
S017406,Merrimack,N/A
S017405,Merrimack,N/A
S017402,Merrimack,N/A
S017401,Merrimack,N/A
S011843,Morristown,Good
S011852,Nashville,N/A
S011850,New Canaan,Good
S011849,New Canaan,Good
S017752,New York,N/A
S011861,New York,N/A
S005731,New York,N/A
S005760,Newport,Good
S005798,Newton Center,N/A
S011891,North Bend,N/A
S005797,North Hampton,N/A
S017757,Phippsburg,N/A
S011897,Pittsburg,N/A
S005721,Portland,N/A
S011888,Providence,N/A
S011820,Provincetown,N/A
S011814,Provincetown,N/A
S011868,Russell,N/A
S005701,San Mateo,N/A
S005720,Seattle,N/A
S011800,Sharon,Good
S011874,Shrewsbury,Troubled
S005742,Somerville,N/A
S011805,South Hampton,N/A
S011831,Sudbury,Good
S011829,Sudbury,N/A
S005738,Sudbury,Good
S005774,Tiverton,N/A
S011889,Tonasket,N/A
S011846,Truro,N/A
S011892,Verona,N/A
S011869,Waccabuc,Troubled
S005751,Waccabuc,N/A
S011878,Warner,N/A
S011845,Washington,N/A
S017410,Wayland,N/A
S017415,Wayland,N/A
S011885,Wayland,Good
S011802,Wayland,Good
S011890,Westport,N/A
S005713,Wilmington,N/A
S005711,Windham,Good
S017403,Woburn,Good
S011842,Woodstock,N/A
